participant,groupe,block,Augend,Addend,Response,True,accuracy,rt
10,1,2,C,5,H,t,1,"6,87777769996319"
10,1,2,I,2,K,t,1,"3,49249560001772"
10,1,2,C,2,F,t+1,0,"1,66549000004306"
10,1,2,I,5,O,t+1,1,"6,47106480004732"
10,1,3,F,4,J,t,1,"5,08061219996307"
10,1,3,I,5,O,t+1,1,"7,60639359999914"
10,1,3,C,3,F,t,1,"1,99271869997028"
10,1,3,F,2,H,t,1,"3,68121160008013"
10,1,3,C,5,H,t,1,"7,45518840011209"
10,1,3,F,3,J,t+1,1,"5,17558170005214"
10,1,3,C,4,H,t+1,1,"4,32178989995737"
10,1,3,C,2,F,t+1,0,"1,75009230000433"
10,1,3,I,2,K,t,1,"4,73632480006199"
10,1,3,F,5,L,t+1,1,"4,54780149995349"
10,1,3,I,3,L,t,1,"3,60644870006945"
10,1,3,I,4,N,t+1,1,"2,51110070000868"
10,1,3,I,2,L,t+1,0,"2,2920556999743"
10,1,3,F,5,K,t,1,"5,88849529996514"
10,1,3,F,3,I,t,1,"5,60677040007431"
10,1,3,I,5,N,t,0,"7,02351249998901"
10,1,3,C,3,G,t+1,1,"7,02527509990614"
10,1,3,F,4,K,t+1,1,"3,24228070001118"
10,1,3,F,2,I,t+1,1,"3,64073410001583"
10,1,3,I,4,M,t,1,"8,24036529997829"
10,1,3,I,3,M,t+1,1,"1,71345280006062"
10,1,3,C,4,G,t,1,"5,58955340005923"
10,1,3,C,2,E,t,1,"1,83087880001403"
10,1,3,C,5,I,t+1,0,"1,67795110004954"
10,1,3,C,2,E,t,1,"1,76343309995718"
10,1,3,C,3,G,t+1,1,"5,66163470002357"
10,1,3,F,2,I,t+1,1,"3,40455900004599"
10,1,3,I,3,M,t+1,1,"4,25337440008298"
10,1,3,F,4,K,t+1,1,"5,0921159000136"
10,1,3,F,3,I,t,1,"4,74576070008334"
10,1,3,I,2,L,t+1,1,"3,27763130003586"
10,1,3,I,4,M,t,1,"5,69084539997857"
10,1,3,F,5,K,t,1,"4,69696770003066"
10,1,3,C,5,I,t+1,1,"4,6384098000126"
10,1,3,I,5,N,t,1,"5,76664509996772"
10,1,3,C,4,G,t,1,"3,10500920005143"
10,1,3,I,4,N,t+1,0,"4,06102719996125"
10,1,3,I,5,O,t+1,1,"6,10048859997187"
10,1,3,I,2,K,t,1,"3,31303099996876"
10,1,3,F,5,L,t+1,1,"4,75057540007401"
10,1,3,I,3,L,t,1,"3,54521749995183"
10,1,3,F,3,J,t+1,1,"6,83619890001137"
10,1,3,C,4,H,t+1,1,"4,29270430002362"
10,1,3,C,5,H,t,1,"2,24252470000647"
10,1,3,F,4,J,t,1,"3,23327679990325"
10,1,3,C,2,F,t+1,1,"1,63999729999341"
10,1,3,C,3,F,t,1,"2,39014169992879"
10,1,3,F,2,H,t,1,"2,9912253000075"
10,1,3,C,3,F,t,1,"3,13694239989854"
10,1,3,I,2,K,t,1,"6,49173430004157"
10,1,3,C,4,H,t+1,1,"2,97818590002134"
10,1,3,F,5,L,t+1,0,"5,22782709996682"
10,1,3,C,2,F,t+1,0,"4,16414320003241"
10,1,3,F,2,H,t,1,"2,26247070007958"
10,1,3,C,5,H,t,1,"7,42031209997367"
10,1,3,F,4,J,t,1,"3,63806109991856"
10,1,3,F,3,J,t+1,0,"16,2776354999514"
10,1,3,I,4,N,t+1,1,"6,44753719994333"
10,1,3,I,5,O,t+1,1,"1,81509240006562"
10,1,3,I,3,L,t,1,"1,99904330004938"
10,1,3,I,4,M,t,1,"2,25612020003609"
10,1,3,F,2,I,t+1,1,"2,5739167999709"
10,1,3,C,4,G,t,1,"3,59179090010002"
10,1,3,I,2,L,t+1,1,"3,129221900017"
10,1,3,C,5,I,t+1,1,"4,4449080999475"
10,1,3,F,5,K,t,1,"3,74833880004007"
10,1,3,F,3,I,t,1,"4,12016419996508"
10,1,3,F,4,K,t+1,1,"2,13149869989138"
10,1,3,C,2,E,t,1,"1,2393114999868"
10,1,3,I,3,M,t+1,1,"4,55768530000933"
10,1,3,I,5,N,t,1,"3,24844590004068"
10,1,3,C,3,G,t+1,1,"4,20742390002124"
11,2,0,D,2,F,t,1,"2,38093109999318"
11,2,0,D,5,J,t+1,1,"2,95938560005743"
11,2,0,G,2,I,t,1,"3,55286340008024"
11,2,0,J,5,P,t+1,1,"3,87648159998935"
11,2,0,J,2,M,t+1,1,"6,04222539998591"
11,2,0,D,3,G,t,1,"2,8739104999695"
11,2,0,G,4,K,t,1,"4,63123729999643"
11,2,0,G,5,M,t+1,1,"3,92746429995168"
11,2,0,J,3,M,t,1,"3,24427989998367"
11,2,0,D,4,I,t+1,1,"2,80304470006377"
11,2,0,J,4,N,t,1,"3,33132900006603"
11,2,0,G,3,K,t+1,1,"3,1910610999912"
11,2,0,J,4,O,t+1,1,"3,57661209988874"
11,2,0,G,2,J,t+1,1,"3,56218499992974"
11,2,0,J,3,N,t+1,1,"1,8524872000562"
11,2,0,J,5,O,t,1,"4,12321320001502"
11,2,0,D,4,H,t,0,"2,71098650002386"
11,2,0,G,4,L,t+1,1,"4,22676440002397"
11,2,0,G,3,J,t,1,"2,79534780001268"
11,2,0,D,2,G,t+1,1,"2,63659119990189"
11,2,0,D,3,H,t+1,1,"3,1226821000455"
11,2,0,D,5,I,t,1,"3,65522109996527"
11,2,0,J,2,L,t,1,"2,74194840004202"
11,2,0,G,5,L,t,1,"3,44010189990513"
11,2,0,J,5,O,t,1,"4,15212749992497"
11,2,0,G,4,L,t+1,1,"6,41827150003519"
11,2,0,J,3,N,t+1,1,"2,96294770005625"
11,2,0,D,4,H,t,1,"3,10162929992657"
11,2,0,D,2,G,t+1,1,"2,25793560000602"
11,2,0,G,5,L,t,1,"3,67178239999339"
11,2,0,J,2,L,t,1,"4,44675689993892"
11,2,0,G,3,J,t,1,"2,66216800000984"
11,2,0,G,2,J,t+1,1,"2,15605480002705"
11,2,0,D,3,H,t+1,1,"3,01384729996789"
11,2,0,J,4,O,t+1,1,"3,68628379993606"
11,2,0,D,5,I,t,1,"3,227620700025"
11,2,0,D,3,G,t,1,"2,38706439989619"
11,2,0,G,4,K,t,1,"3,75643750000745"
11,2,0,G,3,K,t+1,1,"3,13460330001544"
11,2,0,D,5,J,t+1,1,"3,48998760001268"
11,2,0,J,4,N,t,1,"3,47946179995779"
11,2,0,J,3,M,t,1,"3,46934059995692"
11,2,0,G,2,I,t,1,"2,42697849997785"
11,2,0,J,2,M,t+1,1,"2,72291330003645"
11,2,0,G,5,M,t+1,1,"3,05392239999492"
11,2,0,D,4,I,t+1,1,"2,84502000000794"
11,2,0,D,2,F,t,1,"2,01200970006175"
11,2,0,J,5,P,t+1,1,"4,35543350002263"
11,2,0,J,3,N,t+1,1,"3,15889570000581"
11,2,0,G,4,L,t+1,1,"3,05726479995064"
11,2,0,G,2,J,t+1,1,"5,03907259996049"
11,2,0,J,2,L,t,1,"2,76713190006558"
11,2,0,D,2,G,t+1,1,"1,60105559998192"
11,2,0,G,3,J,t,1,"2,45705800002907"
11,2,0,J,4,O,t+1,1,"3,9104498999659"
11,2,0,D,3,H,t+1,1,"2,1235659000231"
11,2,0,J,5,O,t,1,"3,3585833000252"
11,2,0,D,5,I,t,1,"2,8813450000016"
11,2,0,D,4,H,t,0,"2,9350553000113"
11,2,0,G,5,L,t,1,"4,95397580007557"
11,2,0,G,3,K,t+1,1,"4,02144899999257"
11,2,0,G,4,K,t,1,"3,10159949993249"
11,2,0,D,4,I,t+1,1,"3,24223340000026"
11,2,0,J,5,P,t+1,1,"3,46444439992774"
11,2,0,G,5,M,t+1,1,"4,66335469996557"
11,2,0,D,5,J,t+1,1,"2,7421843999764"
11,2,0,D,3,G,t,1,"2,41778720007278"
11,2,0,G,2,I,t,1,"3,06536550004967"
11,2,0,D,2,F,t,1,"2,00682660005987"
11,2,0,J,3,M,t,1,"2,87126569997054"
11,2,0,J,4,N,t,1,"4,88465389993507"
11,2,0,J,2,M,t+1,1,"2,63506809994578"
11,2,1,G,3,K,t+1,1,"3,93063149997033"
11,2,1,G,2,I,t,1,"1,97495249996427"
11,2,1,G,4,K,t,1,"2,21629759995267"
11,2,1,D,3,G,t,1,"2,62351780000608"
11,2,1,J,5,P,t+1,1,"4,32766539999284"
11,2,1,J,3,M,t,1,"3,09133060008753"
11,2,1,D,2,F,t,1,"1,90441079996526"
11,2,1,J,4,N,t,1,"3,4365474000806"
11,2,1,J,2,M,t+1,1,"4,0754947999958"
11,2,1,D,4,I,t+1,1,"2,69729779998306"
11,2,1,G,5,M,t+1,1,"4,10229069995694"
11,2,1,D,5,J,t+1,1,"2,99568000005093"
11,2,1,D,5,I,t,1,"2,82008600002155"
11,2,1,D,3,H,t+1,1,"1,84425419999752"
11,2,1,G,3,J,t,1,"4,0032623000443"
11,2,1,G,4,L,t+1,1,"2,12378010002431"
11,2,1,D,4,H,t,1,"3,26342069997918"
11,2,1,J,5,O,t,1,"3,90145650005434"
11,2,1,G,5,L,t,1,"3,753628400038"
11,2,1,J,4,O,t+1,1,"5,81273850006983"
11,2,1,J,2,L,t,1,"3,53435980004724"
11,2,1,J,3,N,t+1,1,"4,17771759990137"
11,2,1,D,2,G,t+1,1,"2,31516779994126"
11,2,1,G,2,J,t+1,1,"2,35936100000981"
11,2,1,J,5,P,t+1,1,"4,17006979999133"
11,2,1,D,5,J,t+1,1,"3,01941790001001"
11,2,1,J,4,N,t,1,"7,10758229997009"
11,2,1,G,5,M,t+1,1,"2,95333649998065"
11,2,1,J,2,M,t+1,1,"3,58740650000982"
11,2,1,G,4,K,t,1,"2,81316090002656"
11,2,1,D,2,F,t,1,"1,58122320007533"
11,2,1,D,3,G,t,1,"2,94235229992773"
11,2,1,D,4,I,t+1,1,"3,80104300007224"
11,2,1,G,3,K,t+1,1,"2,51444619998802"
11,2,1,G,2,I,t,1,"1,51032560004387"
11,2,1,J,3,M,t,1,"3,10577599995304"
11,2,1,J,2,L,t,1,"2,56676560000051"
11,2,1,D,4,H,t,1,"2,58409709995613"
11,2,1,G,5,L,t,1,"3,12163990002591"
11,2,1,G,2,J,t+1,1,"1,73320029990282"
11,2,1,D,5,I,t,1,"2,46328509994783"
11,2,1,D,3,H,t+1,1,"2,28609289997257"
11,2,1,J,3,N,t+1,1,"4,42628640006296"
11,2,1,J,4,O,t+1,1,"1,99507509998512"
11,2,1,G,3,J,t,1,"2,15561630006414"
11,2,1,J,5,O,t,1,"6,10194560000673"
11,2,1,D,2,G,t+1,1,"1,99534439994022"
11,2,1,G,4,L,t+1,1,"3,26777659996878"
11,2,1,D,3,G,t,1,"1,93809970002621"
11,2,1,G,2,I,t,1,"1,66065680002794"
11,2,1,G,3,K,t+1,1,"5,06673339998815"
11,2,1,G,5,M,t+1,1,"3,21705450001173"
11,2,1,J,5,P,t+1,1,"3,78461049997713"
11,2,1,J,2,M,t+1,1,"5,63344970007893"
11,2,1,D,4,I,t+1,1,"2,81716610002331"
11,2,1,J,4,N,t,1,"3,75316749990452"
11,2,1,G,4,K,t,1,"2,73191830003634"
11,2,1,D,5,J,t+1,1,"2,86309190001339"
11,2,1,J,3,M,t,1,"5,22174359997734"
11,2,1,D,2,F,t,1,"1,15055689995643"
11,2,1,G,2,J,t+1,1,"4,08779110002797"
11,2,1,J,3,N,t+1,1,"2,70909020002"
11,2,1,D,4,H,t,1,"2,4497101000743"
11,2,1,G,5,L,t,1,"3,44035379996058"
11,2,1,D,3,H,t+1,1,"1,90348640002776"
11,2,1,J,2,L,t,1,"4,52287610003259"
11,2,1,D,2,G,t+1,1,"2,42342570004985"
11,2,1,D,5,I,t,1,"2,88703280000482"
11,2,1,J,4,O,t+1,1,"4,37223990005441"
11,2,1,J,5,O,t,1,"5,80627090006601"
11,2,1,G,3,J,t,1,"5,32729990000371"
11,2,1,G,4,L,t+1,1,"3,30784380005207"
11,2,2,D,3,G,t,1,"3,03344439994544"
11,2,2,D,5,J,t+1,0,"2,61610129999463"
11,2,2,G,5,M,t+1,1,"4,38434380001854"
11,2,2,D,4,I,t+1,1,"4,13718520000111"
11,2,2,G,3,K,t+1,1,"4,28442620008718"
11,2,2,G,4,K,t,1,"2,34593099995982"
11,2,2,J,4,N,t,1,"3,39707199996337"
11,2,2,J,5,P,t+1,1,"5,99793660000432"
11,2,2,J,3,M,t,1,"6,85662049998064"
11,2,2,J,2,M,t+1,1,"1,52755140000954"
11,2,2,G,2,I,t,1,"1,63512639992405"
11,2,2,D,2,F,t,1,"1,45801709999796"
11,2,2,D,3,H,t+1,1,"1,57618880004156"
11,2,2,G,2,J,t+1,1,"2,32158430002164"
11,2,2,G,5,L,t,1,"3,02077549998649"
11,2,2,J,2,L,t,1,"2,78063880000264"
11,2,2,G,4,L,t+1,1,"2,94993300002534"
11,2,2,D,5,I,t,1,"2,33682109997608"
11,2,2,G,3,J,t,1,"2,15532460005488"
11,2,2,J,5,O,t,1,"4,54094950004946"
11,2,2,J,4,O,t+1,1,"1,40059069998097"
11,2,2,J,3,N,t+1,1,"3,35246600001119"
11,2,2,D,2,G,t+1,1,"1,72345629998017"
11,2,2,D,4,H,t,1,"4,64665259991307"
11,2,2,J,4,O,t+1,1,"5,86977489991114"
11,2,2,G,3,J,t,1,"2,10082110005897"
11,2,2,J,2,L,t,1,"2,3851192999864"
11,2,2,G,2,J,t+1,1,"2,44212869997136"
11,2,2,D,4,H,t,1,"3,80820209998637"
11,2,2,J,3,N,t+1,1,"3,52125989994966"
11,2,2,G,5,L,t,1,"3,42897310003173"
11,2,2,J,5,O,t,1,"3,26835309993476"
11,2,2,D,2,G,t+1,1,"1,73902300000191"
11,2,2,D,5,I,t,1,"2,8931666999124"
11,2,2,G,4,L,t+1,1,"3,09786910004914"
11,2,2,D,3,H,t+1,1,"2,07891560008284"
11,2,2,D,2,F,t,1,"1,26833730004728"
11,2,2,D,4,I,t+1,1,"1,91400850005448"
11,2,2,G,3,K,t+1,1,"2,02148200001102"
11,2,2,D,5,J,t+1,1,"3,11778670002241"
11,2,2,J,3,M,t,1,"2,96954930003267"
11,2,2,D,3,G,t,1,"1,78750520001631"
11,2,2,J,2,M,t+1,1,"2,92370499996468"
11,2,2,G,5,M,t+1,1,"3,31937779998407"
11,2,2,J,5,P,t+1,1,"3,57921360002365"
11,2,2,G,4,K,t,1,"2,99651379999705"
11,2,2,G,2,I,t,0,"1,6855593000073"
11,2,2,J,4,N,t,1,"3,60302769998089"
11,2,2,J,5,P,t+1,1,"3,82730489992537"
11,2,2,J,2,M,t+1,1,"2,47479940007906"
11,2,2,J,3,M,t,1,"3,55253460002132"
11,2,2,D,2,F,t,1,"1,32306850003079"
11,2,2,G,5,M,t+1,0,"4,92685219994746"
11,2,2,G,3,K,t+1,1,"2,51503260002937"
11,2,2,J,4,N,t,1,"3,10288789996412"
11,2,2,D,3,G,t,1,"3,21962899994105"
11,2,2,G,4,K,t,1,"2,70703159994446"
11,2,2,D,4,I,t+1,1,"2,2395806000568"
11,2,2,G,2,I,t,1,"4,98213530005887"
11,2,2,D,5,J,t+1,1,"2,8402806998929"
11,2,2,D,2,G,t+1,1,"1,24669820000418"
11,2,2,J,3,N,t+1,1,"7,02167260006536"
11,2,2,G,3,J,t,1,"2,54300810000859"
11,2,2,G,4,L,t+1,1,"3,04184039996471"
11,2,2,D,5,I,t,1,"2,52829159994144"
11,2,2,J,5,O,t,1,"3,73208979994524"
11,2,2,D,3,H,t+1,1,"3,41643489990383"
11,2,2,J,4,O,t+1,1,"3,60786550003104"
11,2,2,G,2,J,t+1,1,"2,40083080006298"
11,2,2,J,2,L,t,1,"2,30503839999437"
11,2,2,G,5,L,t,1,"5,94065410003532"
11,2,2,D,4,H,t,1,"2,54475980007555"
11,2,3,D,5,I,t,1,"2,22161110001616"
11,2,3,G,5,L,t,1,"4,10170280002058"
11,2,3,D,4,H,t,1,"3,25848949991632"
11,2,3,J,2,L,t,1,"4,42421480000485"
11,2,3,G,4,L,t+1,1,"4,30439349997323"
11,2,3,D,2,G,t+1,1,"1,15770969993901"
11,2,3,J,3,N,t+1,1,"3,57543869991787"
11,2,3,G,3,J,t,1,"2,37745759997051"
11,2,3,G,2,J,t+1,1,"1,8588939999463"
11,2,3,D,3,H,t+1,1,"1,57692760007922"
11,2,3,J,5,O,t,1,"3,60137489996851"
11,2,3,J,4,O,t+1,1,"0,978146499954164"
